Player Id,Name,Retired,Three_Year_Games,Height (inches),Weight (lbs),Three_Year_TD_INT,Three_Year_RUN_PASS,Three_Year_Completion_Percentage,Three_Year_Yards_per_game,Three_Year_Sacks_per_game,Three_Year_TD_per_game,Three_Year_Ints_per_game,Three_Year_Rush_per_game
a.j.feeley/2504566,"Feeley, A.J.",1,7,75,216,1.3333333333333333,0.005199306759098787,0.5714285714285714,164.85714285714286,1,1.1428571428571428,0.8571428571428571,0.8571428571428571
aaronrodgers/2506363,"Rodgers, Aaron",1,7,74,225,1,0.14285714285714285,0.5932203389830508,47,1.2857142857142858,0.14285714285714285,0.14285714285714285,6.714285714285714
ajmccarron/2543497,"McCarron, AJ",0,8,75,220,3,0.03629976580796253,0.6638655462184874,106.75,1.5,0.75,0.25,3.875
alanrisher/2524210,"Risher, Alan",1,19,74,190,1,0.13120567375886524,0.5945945945945946,29.68421052631579,0.631578947368421,0.15789473684210525,0.15789473684210525,3.8947368421052633
alexespinoza/2513700,"Espinoza, Alex",1,1,73,193,0,0.07246376811594203,0.6428571428571429,69,2,0,2,5
alexsmith/2506340,"Smith, Alex",1,32,76,217,0.6129032258064516,0.07245137849967942,0.54375,146.21875,2.53125,0.59375,0.96875,10.59375
alextanney/2534870,"Tanney, Alex",1,1,76,220,1,0,0.7142857142857143,99,3,1,0,0
alexvanpelt/2503454,"Van Pelt, Alex",1,1,73,220,2,0,0.5555555555555556,106,0,2,0,0
alpastrana/2522827,"Pastrana, Al",1,4,73,190,0.1111111111111111,0.2210242587601078,0.373134328358209,92.75,2,0.25,2.25,20.5
andreware/2503535,"Ware, Andre",1,9,74,205,0.6666666666666666,0.23067776456599287,0.5431034482758621,93.44444444444444,2.2222222222222223,0.4444444444444444,0.6666666666666666,21.555555555555557
andrewluck/2533031,"Luck, Andrew",1,48,76,240,2,0.06984641506521572,0.5857694429123,269.9375,2.0833333333333335,1.7916666666666667,0.8958333333333334,18.854166666666668
