"Administrative","Informational","ProductRelated","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","TotalDuration","TimeThreshold","CensorTime","Censor"
0,0,2,0,0.1,0,0,"Feb",2,2,1,2,"Returning_Visitor",FALSE,FALSE,64,524.76376102306,64,0
0,0,2,0.05,0.14,0,0,"Feb",3,2,2,4,"Returning_Visitor",FALSE,FALSE,2.666666667,524.76376102306,2.666666667,0
0,0,10,0.02,0.05,0,0,"Feb",3,3,1,4,"Returning_Visitor",TRUE,FALSE,627.5,524.76376102306,524.76376102306,1
0,0,19,0.015789474,0.024561404,0,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE,154.2166667,524.76376102306,154.2166667,0
0,0,2,0,0.1,0,0.8,"Feb",2,2,2,3,"Returning_Visitor",FALSE,FALSE,37,524.76376102306,37,0
0,0,3,0,0.022222222,0,0.4,"Feb",2,4,1,2,"Returning_Visitor",FALSE,FALSE,738,524.76376102306,524.76376102306,1
0,0,3,0,0.066666667,0,0,"Feb",1,1,3,3,"Returning_Visitor",FALSE,FALSE,395,524.76376102306,395,0
0,0,16,0.01875,0.025833333,0,0.4,"Feb",1,1,4,3,"Returning_Visitor",FALSE,FALSE,407.75,524.76376102306,407.75,0
0,0,7,0,0.028571429,0,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE,280.5,524.76376102306,280.5,0
0,0,6,0,0.066666667,0,0,"Feb",2,5,1,3,"Returning_Visitor",FALSE,FALSE,98,524.76376102306,98,0
0,0,2,0,0.1,0,0,"Feb",3,2,3,3,"Returning_Visitor",FALSE,FALSE,68,524.76376102306,68,0
2,0,23,0.008333333,0.016312636,0,0,"Feb",1,1,9,3,"Returning_Visitor",FALSE,FALSE,1721.285119,524.76376102306,524.76376102306,1
0,0,13,0,0.007692308,0,0,"Feb",1,1,1,4,"Returning_Visitor",TRUE,FALSE,334.9666667,524.76376102306,334.9666667,0
0,0,2,0,0.1,0,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE,32,524.76376102306,32,0
0,0,20,0,0.01,0,0,"Feb",2,4,4,4,"Returning_Visitor",FALSE,FALSE,2981.166667,524.76376102306,524.76376102306,1
0,0,8,0,0.008333333,0,1,"Feb",2,2,5,1,"Returning_Visitor",TRUE,FALSE,136.1666667,524.76376102306,136.1666667,0
0,0,3,0,0.033333333,0,0,"Feb",3,2,1,5,"Returning_Visitor",FALSE,FALSE,105,524.76376102306,105,0
0,0,2,0,0.1,0,0.8,"Feb",2,4,1,3,"Returning_Visitor",FALSE,FALSE,15,524.76376102306,15,0
