"Administrative","Informational","ProductRelated","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","TotalDuration","TimeThreshold","CensorTime","Censor"
0,0,2,0,0.1,0,0,"Feb",2,2,1,2,"Returning_Visitor",FALSE,FALSE,64,524.76376102306,64,0
0,0,2,0.05,0.14,0,0,"Feb",3,2,2,4,"Returning_Visitor",FALSE,FALSE,2.666666667,1421.06619244441,2.666666667,0
0,0,10,0.02,0.05,0,0,"Feb",3,3,1,4,"Returning_Visitor",TRUE,FALSE,627.5,742.068690042943,627.5,0
0,0,19,0.015789474,0.024561404,0,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE,154.2166667,1590.60115316883,154.2166667,0
0,0,2,0,0.1,0,0.8,"Feb",2,2,2,3,"Returning_Visitor",FALSE,FALSE,37,1693.43643888598,37,0
0,0,3,0,0.022222222,0,0.4,"Feb",2,4,1,2,"Returning_Visitor",FALSE,FALSE,738,91.5461339079775,91.5461339079775,1
0,0,3,0,0.066666667,0,0,"Feb",1,1,3,3,"Returning_Visitor",FALSE,FALSE,395,955.308823604137,395,0
0,0,16,0.01875,0.025833333,0,0.4,"Feb",1,1,4,3,"Returning_Visitor",FALSE,FALSE,407.75,1607.43008946534,407.75,0
0,0,7,0,0.028571429,0,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE,280.5,997.068675893825,280.5,0
0,0,6,0,0.066666667,0,0,"Feb",2,5,1,3,"Returning_Visitor",FALSE,FALSE,98,827.34037619317,98,0
0,0,2,0,0.1,0,0,"Feb",3,2,3,3,"Returning_Visitor",FALSE,FALSE,68,1722.73168817628,68,0
2,0,23,0.008333333,0.016312636,0,0,"Feb",1,1,9,3,"Returning_Visitor",FALSE,FALSE,1721.285119,821.468139581848,821.468139581848,1
0,0,13,0,0.007692308,0,0,"Feb",1,1,1,4,"Returning_Visitor",TRUE,FALSE,334.9666667,1222.85143746063,334.9666667,0
0,0,2,0,0.1,0,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE,32,1035.01378950197,32,0
0,0,20,0,0.01,0,0,"Feb",2,4,4,4,"Returning_Visitor",FALSE,FALSE,2981.166667,194.235181971453,194.235181971453,1
0,0,8,0,0.008333333,0,1,"Feb",2,2,5,1,"Returning_Visitor",TRUE,FALSE,136.1666667,1620.68669701926,136.1666667,0
0,0,3,0,0.033333333,0,0,"Feb",3,2,1,5,"Returning_Visitor",FALSE,FALSE,105,450.497044494841,105,0
0,0,2,0,0.1,0,0.8,"Feb",2,4,1,3,"Returning_Visitor",FALSE,FALSE,15,85.2865650202148,15,0
0,0,5,0,0.04,0,0,"Feb",1,1,9,3,"Returning_Visitor",FALSE,FALSE,156,596.978087516036,156,0
4,0,32,0.002857143,0.00952381,0,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE,1200.044444,1718.56153197354,1200.044444,0
0,0,4,0.05,0.1,0,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE,76,1602.27537575411,76,0
0,0,4,0,0.05,0,0.2,"Feb",2,6,1,3,"Returning_Visitor",FALSE,FALSE,63,1250.11809702031,63,0
1,1,45,0.043478261,0.050821256,54.17976426,0.4,"Feb",3,2,1,1,"Returning_Visitor",FALSE,FALSE,1588.75,1156.50719664525,1156.50719664525,1
